"Player","Position","Team","Order"
"RayRice","RB","BAL",3
"AndreJohnson","WR","HOU",4
"ChrisJohnson","RB","TEN",5
"JamaalCharles","RB","KC",6
"RashardMendenhall","RB","PIT",7
"AaronRodgers","QB","GB",8
"LeSeanMcCoy","RB","PHI",9
"CalvinJohnson","WR","DET",10
"TomBrady","QB","NE",11
"FrankGore","RB","SF",12
"DarrenMcFadden","RB","OAK",13
"GregJennings","WR","GB",14
"VincentJackson","WR","SD",15
"MauriceJones-Drew","RB","JAC",16
"LarryFitzgerald","WR","ARI",17
"RoddyWhite","WR","ATL",18
"MichaelVick","QB","PHI",19
"MichaelTurner","RB","ATL",20
"StevenJackson","RB","STL",21
"HakeemNicks","WR","NYG",22
"MikeWallace","WR","PIT",23
"DrewBrees","QB","NO",24
"MattForte","RB","CHI",25
"MilesAustin","WR","DAL",26
"DeSeanJackson","WR","PHI",27
"FelixJones","RB","DAL",28
"PeytonHillis","RB","CLE",29
"LeGarretteBlount","RB","TB",30
"MikeWilliams","WR","TB",31
"BrandonMarshall","WR","MIA",32
"PhilipRivers","QB","SD",33
"AhmadBradshaw","RB","NYG",34
"DezBryant","WR","DAL",35
